"file_path","ear_tag","date","full_text","corrupt"
"Cohort 1/Baseline/G1 Females Naive/Top (42).JPG",5066,2023-02-22,"</s>5066
DATE:
22FEB2023
Group 1
all naive controls
Female",
"Cohort 2/Cull Point 2/Group 5 Cull 2/Group 5 Females/Top/IMG_8000.JPG",5232,2024-01-14,"</s>5232
DATE: 14JAN2024
Group 5
LEV-001: +3 treatments
Female",
"Cohort 2/Cull Point 2/Group 5 Cull 2/Group 5 Females/Top/IMG_8014.JPG",5399,2024-01-14,"</s>5399
DATE: 14JAN2024
Group 5
LEV-0001- +3 Treatments
Female",
"Cohort 2/Cull Point 2/Group 3 Cull 2/Group 3 Males/Top/IMG_8089.JPG",5427,2024-01-14,"</s>5427
14JAN2024
Group 3
LEV-0001-Group 3
HSC + 3 mock control
Male",
"Cohort 2/Cull Point 2/Group 3 Cull 2/Group 3 Males/Top/IMG_8061.JPG",5249,2024-01-14,"</s>5249
DATE: 14JAN2024
LEV-00011-Group 3
HSC + 3 nave control
Male",
"Cohort 2/Cull Point 2/Group 3 Cull 2/Group 3 Males/Top/IMG_8060.JPG",5249,2024-01-14,"</s>5249
14JAN2024
DATE: 14JAN2001-Group 3
LEV-0001-Group3
HSC+ 3 nave control
Male",
"Cohort 2/Cull Point 2/Group 3 Cull 2/Group 3 Males/Top/IMG_8041.JPG",5339,2024-01-14,"</s>5339
14JAN2024
DATE: 14JAN20124
LEV-0001 - Group 3
HSC + 3 naive control
Male",
"Cohort 2/Cull Point 2/Group 3 Cull 2/Group 3 Males/Side/IMG_7579.JPG",5411,2024-01-14,"</s>5411
14JAN202024
DATE:
LEV-0001 - Group
HSC + 3 mock control
Male
01/14/2024 15:07",
"Cohort 1/Baseline/G1 Males Mock/top (1).JPG",5009,2023-02-23,"</s>5009
DATE:
2FEP20002
Group 1
all mock controls
Male",
"Cohort 4/Cull Point 1/Group 8/Males/Top/IMG_8272.JPG",5746,2024-02-06,"</s>5746
DATE:
05FEB2021
LEV/0001 - Group 8
HSC mock - 3 TX
Male",
"Cohort 4/Cull Point 1/Group 8/Males/Top/IMG_8259.JPG",5826,2024-02-06,"</s>5826
DATE:
06FEB2020
LYV-0001 - Group 8
HSC mock - 3 TX
Male","True"
"Cohort 4/Cull Point 1/Group 8/Males/Top/IMG_8265.JPG",5769,2024-02-06,"</s>5769
DATE: 06FEB20204
LEV-0001 - Group 8
HSC mock - 3 TX
Male","False"
"Cohort 4/Cull Point 1/Group 8/Males/Top/IMG_8249.JPG",5849,2024-02-06,"</s>5849
DATE: 06FEB2021
A/Y0001 - Group 8
HSC mock - 3 TX
Male","False"
"Cohort 4/Cull Point 1/Group 8/Males/Top/IMG_8250.JPG",5849,2024-02-06,"</s>5849
DATE: 06FEB2021
F/Y0001: Group 8
HSC mock - 3 TX
Male","False"
"Cohort 1/Baseline/G1 Females Mock/5086 Side.JPG",5086,2023-02-22,"</s>5086
DATE:
22FEB2020
Group 1
all mock controls
Female
02/22/2023","False"
"Cohort 1/Baseline/G1 Males Naive/Top (14).JPG",5114,2023-02-23,"</s>5114
DATE:
23FEB20203
Group 1
all naive controls
Male","False"
"Cohort 1/Baseline/G1 Males Mock/top (14).JPG",5029,2023-02-23,"</s>5029
DATE:
23FED2000
Group 1
all mock controls
Male","False"
"Cohort 1/Baseline/G2 Females Naive/Top (5).JPG",5104,2023-02-24,"</s>5104
24FEB2020
DATE:
Group 2
+ diet, 3 naive controls
Female","False"
"Cohort 1/Baseline/G1 Females Naive/Top (21).JPG",5063,2023-02-23,"</s>5063
DATE:
28FEB2020
Group 1
all naive controls
Female","False"
"Cohort 2/Baseline/14MAR23/Batch 5/Side/IMG_2413.JPG",5390,2023-03-14,"</s>5390
DATE:
14MAR202
LEV-0001 - Group
AAV naïve + 3 treatments
Female
03/14/2023","False"
"Cohort 2/Baseline/14MAR23/Batch 5/Side/IMG_2408.JPG",6024,2023-03-14,"</s>6024
14MAR20.3
DATE:
LEV-0001 - Group 5
AAV naive + 3 treatments
Male
03/14/2023","False"
"Cohort 3/Baseline/22MAR23 ACS Redos/22 redos top/IMG_2480.JPG",5614,2023-03-22,"</s>5614
DATE: 22MAR2003
LEV-0001 - Group 6
*AAV, 3 nave
Male","False"
"Cohort 4/Baseline/5APR2023 - Groups 9 & 10 - Batch 1/Top/IMG_2971.JPG",6026,2023-04-05,"</s>6026
05APR2023
DATE: 05APR201- Group 9
LEV-0001-Group 9
Senolytic mock - 3 TX
Male",
"Cohort 4/Baseline/5APR2023 - Groups 9 & 10 - Batch 1/Top/IMG_2970.JPG",6026,2023-04-05,"</s>6026
05APR2023
DATE: 05APR201-9
LEV-0001-Group 9
Senolytic mock - 3 TX
Male",
"Cohort 4/Baseline/5APR2023 - Groups 9 & 10 - Batch 1/Top/IMG_2958.JPG",5751,2023-04-05,"</s>5751
05APR2023
DATE: 05APR20123
LEV-0001 - Group 9
Senolytic native - 3 TX
Male",
"Cohort 4/Baseline/5APR2023 - Groups 9 & 10 - Batch 1/Top/IMG_2967.JPG",6027,2023-04-05,"</s>6027
05APR2023
DATE: 05APR201- Group 9
LEV-0001-3 TX
Senolytic mock-3 tx
Male",
